Route Number,Route Direction,Stops,City Name,Date,Stop Time 1,Stop Time 2,Stop Time 3,Stop Time 4,Stop Time 5,Stop Time 6,Stop Time 7,Stop Time 8,Stop Time 9,Stop Time 10,Stop Time 11,Stop Time 12,Stop Time 13,Stop Time 14,Stop Time 15,Stop Time 16,Stop Time 17,Stop Time 18,Stop Time 19,Stop Time 20,Stop Time 21,Stop Time 22,Stop Time 23,Stop Time 24,Stop Time 25,Stop Time 26,Stop Time 27,Stop Time 28,Stop Time 29,Stop Time 30,Stop Time 31,Stop Time 32,Stop Time 33,Stop Time 34,Stop Time 35,Stop Time 36,Stop Time 37,Stop Time 38,Stop Time 39,Stop Time 40,Stop Time 41,Stop Time 42,Stop Time 43,Stop Time 44,Stop Time 45,Stop Time 46,Stop Time 47,Stop Time 48,Stop Time 49,Stop Time 50,Stop Time 51,Stop Time 52,Stop Time 53,Stop Time 54,Stop Time 55,Stop Time 56,Stop Time 57,Stop Time 58,Stop Time 59,Stop Time 60,Stop Time 61,Stop Time 62,Stop Time 63,Stop Time 64,Stop Time 65,Stop Time 66,Stop Time 67,Stop Time 68,Stop Time 69,Stop Time 70,Stop Time 71,Stop Time 72,Stop Time 73,Stop Time 74,Stop Time 75,Stop Time 76,Stop Time 77,Stop Time 78,Stop Island,Time_Count,Stops - City Name - Stop Island,Longitude_Final,Latitude_Final,Bus_Stop_ID,Next_Bus_Stop_ID,Bus_Stop_Next_Bus_Stop,Bus_Terminal
2,Birgu Centre - Valletta,Riche,Bormla,"Monday, Tuesday, Wednesday, Thursday, Friday",05:27,05:58,06:28,06:58,07:27,07:57,08:27,08:57,09:27,09:57,10:27,10:57,11:27,11:57,12:27,12:57,13:27,13:57,14:27,14:57,15:27,15:57,16:27,16:56,17:26,17:56,18:26,18:56,19:26,19:56,20:26,21:26,22:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,33,Riche - Bormla - MALTA STOP,14.5234232,35.8848631,Stop_301,Stop_300,Stop_301_to_Stop_300,0
3,Kalkara Progress - Valletta,Progress,Il-Kalkara,"Monday, Tuesday, Wednesday, Thursday, Friday",05:20,05:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,2,Progress - Il-Kalkara - MALTA STOP,14.5270881,35.8861795,Stop_302,Stop_303,Stop_302_to_Stop_303,1
3,Kalkara Progress - Valletta,Kalkara,Il-Kalkara,"Monday, Tuesday, Wednesday, Thursday, Friday",05:35,06:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,2,Kalkara - Il-Kalkara - MALTA STOP,14.5270897,35.8890505,Stop_316,Stop_317,Stop_316_to_Stop_317,0
90,Valletta - Zabbar,Baruni,Haz-Zabbar,"Wednesday, Thursday, Friday, Monday, Tuesday",05:58,06:28,06:48,07:08,07:28,07:48,08:08,08:28,08:58,09:28,09:58,10:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,12,Baruni - Haz-Zabbar - MALTA STOP,14.5358378,35.8755751,Stop_275,,,1
94,Valletta - Xghajra,Wignacourt,Ix-Xghajra,"Monday, Tuesday, Wednesday, Thursday, Friday",06:14,06:45,07:15,07:45,08:15,08:45,09:15,09:45,10:15,10:45,11:15,11:45,12:18,12:48,13:18,13:48,14:18,14:48,15:18,15:49,16:19,16:49,17:19,17:49,18:19,18:47,19:17,19:47,20:14,21:12,22:12,23:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,32,Wignacourt - Ix-Xghajra - MALTA STOP,14.5449489,35.8845584,Stop_962,Stop_963,Stop_962_to_Stop_963,0
94,Valletta - Xghajra,Xghajra,Ix-Xghajra,"Monday, Tuesday, Wednesday, Thursday, Friday",06:23,06:55,07:25,07:55,08:25,08:55,09:25,09:55,10:25,10:55,11:25,11:55,12:28,12:58,13:28,13:58,14:28,14:58,15:28,16:00,16:30,17:00,17:30,18:00,18:30,18:57,19:27,19:57,20:23,21:20,22:20,23:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,32,Xghajra - Ix-Xghajra - MALTA STOP,14.5499339,35.8879016,Stop_968,,,1
133,Valletta - Valletta,Lascaris,Il-Belt Valletta,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",06:17,06:47,07:17,07:47,08:17,08:47,09:17,09:47,10:17,10:47,11:17,11:47,12:17,12:47,13:17,13:47,14:17,14:47,15:17,15:47,16:17,16:47,17:17,17:47,18:17,18:47,19:17,19:47,20:17,20:47,21:17,21:47,22:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,33,Lascaris - Il-Belt Valletta - MALTA STOP,14.5126522,35.8940464,Stop_1083,Stop_1064,Stop_1083_to_Stop_1064,0
