Route Number,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
301,40,40,40,40,40,40,40
302,13,13,13,13,13,17,13
303,16,16,16,16,16,16,16
305,18,18,18,18,18,18,18
306,18,18,18,18,18,18,18
307,17,17,17,17,17,17,17
308,18,18,18,18,18,18,18
309,18,18,18,18,18,18,18
310,24,24,24,24,24,34,24
311,13,13,13,13,13,18,13
312,19,19,19,19,19,19,19
313,18,18,18,18,18,18,18
322,12,12,12,12,12,20,12
323,18,18,18,18,18,18,18
330,5,5,5,5,5,5,5
