Route Number,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
301,17,17,17,17,17,17,17
302,20,20,20,20,20,20,20
303,42,42,42,42,42,42,42
305,21,21,21,21,21,21,21
306,21,21,21,21,21,21,21
307,36,36,36,36,36,36,36
308,25,25,25,25,25,25,25
309,22,22,22,22,22,22,22
310,24,24,24,24,24,24,24
311,20,20,20,20,20,20,20
312,30,30,30,30,30,30,30
313,23,23,23,23,23,23,23
322,32,32,32,32,32,32,32
323,25,25,25,25,25,25,25
330,11,11,11,11,11,11,11
