Route Number,Route Direction,Stops,City Name,Date,Stop Time 1,Stop Time 2,Stop Time 3,Stop Time 4,Stop Time 5,Stop Time 6,Stop Time 7,Stop Time 8,Stop Time 9,Stop Time 10,Stop Time 11,Stop Time 12,Stop Time 13,Stop Time 14,Stop Time 15,Stop Time 16,Stop Time 17,Stop Time 18,Stop Time 19,Stop Time 20,Stop Time 21,Stop Time 22,Stop Time 23,Stop Time 24,Stop Time 25,Stop Time 26,Stop Time 27,Stop Time 28,Stop Time 29,Stop Time 30,Stop Time 31,Stop Time 32,Stop Time 33,Stop Time 34,Stop Time 35,Stop Time 36,Stop Time 37,Stop Time 38,Stop Time 39,Stop Time 40,Stop Time 41,Stop Time 42,Stop Time 43,Stop Time 44,Stop Time 45,Stop Time 46,Stop Time 47,Stop Time 48,Stop Time 49,Stop Time 50,Stop Time 51,Stop Time 52,Stop Time 53,Stop Time 54,Stop Time 55,Stop Time 56,Stop Time 57,Stop Time 58,Stop Time 59,Stop Time 60,Stop Time 61,Stop Time 62,Stop Time 63,Stop Time 64,Stop Time 65,Stop Time 66,Stop Time 67,Stop Time 68,Stop Time 69,Stop Time 70,Stop Time 71,Stop Time 72,Stop Time 73,Stop Time 74,Stop Time 75,Stop Time 76,Stop Time 77,Stop Time 78,Stop Island,Time_Count,Stops - City Name - Stop Island,Longitude_Final,Latitude_Final,Bus_Stop_ID,Next_Bus_Stop_ID,Bus_Stop_Next_Bus_Stop,Bus_Terminal
31,Bugibba - Valletta,Bugibba Bay 3,Bugibba,Sunday,05:35,05:55,06:15,06:35,06:55,07:15,07:35,07:55,08:15,08:35,08:55,09:15,09:35,09:55,10:15,10:35,10:55,11:15,11:35,11:55,12:15,12:35,12:55,13:15,13:35,13:55,14:15,14:35,14:55,15:15,15:35,15:55,16:15,16:35,16:55,17:15,17:35,17:55,18:15,18:35,18:55,19:15,19:35,19:55,20:15,20:45,21:15,21:45,22:15,22:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,50,Bugibba Bay 3 - Bugibba - MALTA STOP,14.4193468,35.9545613,Stop_456,Stop_156,Stop_456_to_Stop_156,1
41,Valletta - Cirkewwa,Valletta B6,Il-Belt Valletta,Sunday,05:25,05:55,06:25,06:55,07:25,08:25,08:55,09:55,10:25,10:55,11:25,11:55,12:25,13:25,13:55,14:25,15:25,16:25,16:55,17:25,18:25,19:25,19:55,20:25,21:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,25,Valletta B6 - Il-Belt Valletta - MALTA STOP,14.5099766,35.8943144,Stop_471,Stop_328,Stop_471_to_Stop_328,1
43,Valletta - Naxxar,Valletta B8,Il-Belt Valletta,Sunday,06:10,07:10,08:10,09:10,10:10,11:10,12:10,13:10,14:10,15:10,16:10,17:10,18:10,19:10,20:10,21:10,22:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,17,Valletta B8 - Il-Belt Valletta - MALTA STOP,14.5103317,35.8944169,Stop_506,Stop_328,Stop_506_to_Stop_328,1
43,Valletta - Naxxar,Stivala,In-Naxxar,Sunday,06:35,07:35,08:35,09:35,10:35,11:35,12:35,13:35,14:35,15:35,16:35,17:35,18:35,19:35,20:35,21:35,22:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,17,Stivala - In-Naxxar - MALTA STOP,14.4456831,35.9103969,Stop_508,,,1
44,Valletta - Ghajn Tuffieha,Valletta B7,Il-Belt Valletta,Sunday,05:45,06:15,06:45,07:15,07:45,08:15,08:45,09:15,09:45,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,17:15,17:45,18:15,18:45,19:15,19:45,20:15,21:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,31,Valletta B7 - Il-Belt Valletta - MALTA STOP,14.5101391,35.8943706,Stop_509,Stop_328,Stop_509_to_Stop_328,1
45,Bugibba - Valletta,Bugibba Bay 4,Bugibba,Sunday,05:25,05:55,06:25,06:55,07:25,07:55,08:25,08:55,09:25,09:55,10:25,10:55,11:25,11:55,12:25,12:55,13:25,13:55,14:25,14:55,15:25,15:55,16:25,16:55,17:25,17:55,18:25,18:55,19:25,19:55,20:25,20:55,21:25,21:55,22:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,35,Bugibba Bay 4 - Bugibba - MALTA STOP,14.419392,35.9545947,Stop_540,Stop_159,Stop_540_to_Stop_159,1
46,Valletta - Gharghur,Marzu,Hal Gharghur,Sunday,06:13,07:13,08:13,09:13,10:17,11:17,12:17,13:17,14:17,15:17,16:17,17:17,18:17,19:17,20:17,21:12,22:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,17,Marzu - Hal Gharghur - MALTA STOP,14.4545424,35.9248856,Stop_551,,,1
51,Valletta - Mtarfa,Valletta C2,Il-Belt Valletta,Sunday,05:40,06:10,06:40,07:10,07:40,08:10,08:40,09:10,09:40,10:10,10:40,11:10,11:40,12:10,12:40,13:10,13:40,14:10,14:40,15:10,15:40,16:10,16:40,17:10,17:40,18:10,18:40,19:10,19:40,20:10,20:40,21:40,22:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,33,Valletta C2 - Il-Belt Valletta - MALTA STOP,14.5100364,35.8941176,Stop_590,Stop_224,Stop_590_to_Stop_224,1
54,Valletta - Attard,Valletta C3,Il-Belt Valletta,Sunday,05:35,06:05,06:35,07:05,07:35,08:05,08:35,09:05,09:35,10:05,10:35,11:05,11:35,12:05,12:35,13:05,13:35,14:05,14:35,15:05,15:35,16:05,16:35,17:05,17:35,18:05,18:35,19:05,19:35,20:05,20:35,21:05,21:35,22:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,34,Valletta C3 - Il-Belt Valletta - MALTA STOP,14.5098178,35.894068,Stop_642,Stop_328,Stop_642_to_Stop_328,1
58,Valletta - Birkirkara,Valletta C1,Il-Belt Valletta,Sunday,05:50,06:50,07:50,08:50,09:50,10:50,11:50,12:50,13:50,14:50,15:50,16:50,17:50,18:50,19:50,20:50,21:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,17,Valletta C1 - Il-Belt Valletta - MALTA STOP,14.5102076,35.8941582,Stop_575,Stop_224,Stop_575_to_Stop_224,1
