Route Number,Route Direction,Stops,City Name,Date,Stop Time 1,Stop Time 2,Stop Time 3,Stop Time 4,Stop Time 5,Stop Time 6,Stop Time 7,Stop Time 8,Stop Time 9,Stop Time 10,Stop Time 11,Stop Time 12,Stop Time 13,Stop Time 14,Stop Time 15,Stop Time 16,Stop Time 17,Stop Time 18,Stop Time 19,Stop Time 20,Stop Time 21,Stop Time 22,Stop Time 23,Stop Time 24,Stop Time 25,Stop Time 26,Stop Time 27,Stop Time 28,Stop Time 29,Stop Time 30,Stop Time 31,Stop Time 32,Stop Time 33,Stop Time 34,Stop Time 35,Stop Time 36,Stop Time 37,Stop Time 38,Stop Time 39,Stop Time 40,Stop Time 41,Stop Time 42,Stop Time 43,Stop Time 44,Stop Time 45,Stop Time 46,Stop Time 47,Stop Time 48,Stop Time 49,Stop Time 50,Stop Time 51,Stop Time 52,Stop Time 53,Stop Time 54,Stop Time 55,Stop Time 56,Stop Time 57,Stop Time 58,Stop Time 59,Stop Time 60,Stop Time 61,Stop Time 62,Stop Time 63,Stop Time 64,Stop Time 65,Stop Time 66,Stop Time 67,Stop Time 68,Stop Time 69,Stop Time 70,Stop Time 71,Stop Time 72,Stop Time 73,Stop Time 74,Stop Time 75,Stop Time 76,Stop Time 77,Stop Time 78,Stop Island,Time_Count,Stops - City Name - Stop Island,Longitude_Final,Latitude_Final,Bus_Stop_ID,Next_Bus_Stop_ID,Bus_Stop_Next_Bus_Stop,Bus_Terminal
14,Valletta - Pembroke P+R,Valletta A14,Il-Belt Valletta,Saturday,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,09:50,10:10,10:30,10:50,11:10,11:30,11:50,12:10,12:30,12:50,13:10,13:30,13:50,14:10,14:30,14:50,15:10,15:30,15:50,16:10,16:30,16:50,17:10,17:30,17:50,18:10,18:30,18:50,19:10,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,46,Valletta A14 - Il-Belt Valletta - MALTA STOP,14.5086508,35.894326,Stop_347,Stop_328,Stop_347_to_Stop_328,1
14,Valletta - Pembroke P+R,Pembroke Park & Ride 3,Pembroke,Saturday,06:03,06:33,07:03,07:33,08:03,08:33,09:12,09:42,10:12,10:32,10:52,11:15,11:35,11:55,12:15,12:35,12:55,13:15,13:35,13:55,14:15,14:35,14:55,15:15,15:35,15:55,16:15,16:35,16:55,17:15,17:35,17:55,18:15,18:35,18:55,19:15,19:35,19:55,20:15,20:38,21:08,21:38,22:08,22:38,23:08,23:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,46,Pembroke Park & Ride 3 - Pembroke - MALTA STOP,14.4786769,35.9241428,Stop_349,,,1
15,Valletta - Sliema,Valletta A15,Il-Belt Valletta,Saturday,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,34,Valletta A15 - Il-Belt Valletta - MALTA STOP,14.5086503,35.8942679,Stop_355,Stop_328,Stop_355_to_Stop_328,1
24,Valletta - San Gwann - Valletta,Valletta B4,Il-Belt Valletta,Saturday,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,34,Valletta B4 - Il-Belt Valletta - MALTA STOP,14.5095571,35.8942012,Stop_412,Stop_224,Stop_412_to_Stop_224,1
31,Valletta - Bugibba,Valletta B5,Il-Belt Valletta,Saturday,05:45,06:05,06:25,06:45,07:05,07:25,07:45,08:05,08:25,08:45,09:05,09:25,09:45,10:05,10:25,10:45,11:05,11:25,11:45,12:05,12:25,12:45,13:05,13:25,13:45,14:05,14:25,14:45,15:05,15:25,15:45,16:05,16:25,16:45,17:05,17:25,17:45,18:05,18:25,18:45,19:05,19:25,19:45,20:05,20:25,20:55,21:25,21:55,22:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,49,Valletta B5 - Il-Belt Valletta - MALTA STOP,14.509705,35.8942398,Stop_424,Stop_328,Stop_424_to_Stop_328,1
31,Bugibba - Valletta,Bugibba Bay 3,Bugibba,Saturday,05:35,05:55,06:15,06:35,06:55,07:15,07:35,07:55,08:15,08:35,08:55,09:15,09:35,09:55,10:15,10:35,10:55,11:15,11:35,11:55,12:15,12:35,12:55,13:15,13:35,13:55,14:15,14:35,14:55,15:15,15:35,15:55,16:15,16:35,16:55,17:15,17:35,17:55,18:15,18:35,18:55,19:15,19:35,19:55,20:15,20:45,21:15,21:45,22:15,22:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,50,Bugibba Bay 3 - Bugibba - MALTA STOP,14.4193468,35.9545613,Stop_456,Stop_156,Stop_456_to_Stop_156,1
41,Valletta - Cirkewwa,Valletta B6,Il-Belt Valletta,Saturday,05:25,07:55,08:25,08:55,09:25,09:55,10:25,10:55,11:25,11:55,13:25,13:55,14:25,15:25,15:55,16:55,17:55,19:25,19:55,20:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,20,Valletta B6 - Il-Belt Valletta - MALTA STOP,14.5099766,35.8943144,Stop_471,Stop_328,Stop_471_to_Stop_328,1
43,Valletta - Naxxar,Valletta B8,Il-Belt Valletta,Saturday,06:10,07:10,08:10,09:10,10:10,11:10,12:10,13:10,14:10,15:10,16:10,17:10,18:10,19:10,20:10,21:10,22:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,17,Valletta B8 - Il-Belt Valletta - MALTA STOP,14.5103317,35.8944169,Stop_506,Stop_328,Stop_506_to_Stop_328,1
43,Valletta - Naxxar,Stivala,In-Naxxar,Saturday,06:33,07:33,08:33,09:33,10:36,11:36,12:36,13:36,14:36,15:36,16:36,17:36,18:36,19:36,20:30,21:30,22:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,17,Stivala - In-Naxxar - MALTA STOP,14.4456831,35.9103969,Stop_508,,,1
44,Valletta - Ghajn Tuffieha,Valletta B7,Il-Belt Valletta,Saturday,05:45,06:15,06:45,07:15,07:45,08:15,08:45,09:15,09:45,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,17:15,17:45,18:15,18:45,19:15,19:45,20:15,21:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALTA STOP,31,Valletta B7 - Il-Belt Valletta - MALTA STOP,14.5101391,35.8943706,Stop_509,Stop_328,Stop_509_to_Stop_328,1
